subject_id,azimuth_deg,elevation_deg,radius_m,itd_us,ild_db
P0001,130.0,75.0,1.5,41.666666666666664,4.752688392143804
P0001,130.0,60.0,1.5,145.83333333333334,7.728425574265964
P0001,130.0,45.0,1.5,229.16666666666666,8.425508831844223
P0001,130.0,30.0,1.5,291.6666666666667,8.392146133007973
P0001,130.0,20.0,1.5,333.3333333333333,8.748187585468019
P0001,130.0,10.0,1.5,333.3333333333333,8.61534526022044
P0001,130.0,0.0,1.5,354.1666666666667,9.040864918442665
P0001,130.0,-10.0,1.5,354.1666666666667,9.30424727844033
P0001,130.0,-20.0,1.5,375.0,9.393261869921615
P0001,130.0,-30.0,1.5,291.6666666666667,10.288239908379564
P0001,130.0,-45.0,1.5,270.8333333333333,7.12779635353561
P0001,305.0,-45.0,1.5,-229.16666666666666,-10.09946490565609
P0001,305.0,-30.0,1.5,-312.5,-12.299569744062165
P0001,305.0,-20.0,1.5,-333.3333333333333,-13.006354403879756
P0001,305.0,-10.0,1.5,-354.1666666666667,-13.282750455070131
P0001,305.0,0.0,1.5,-375.0,-14.143245667939386
P0001,305.0,10.0,1.5,-375.0,-14.917260033482043
P0001,305.0,20.0,1.5,-375.0,-14.425290753573886
P0001,305.0,30.0,1.5,-354.1666666666667,-13.8468275787775
P0001,305.0,45.0,1.5,-291.6666666666667,-12.869926830934544
P0001,305.0,60.0,1.5,-208.33333333333334,-11.52597495289493
P0001,305.0,75.0,1.5,-125.0,-6.809378590576603
P0001,125.0,75.0,1.5,62.5,5.298038752123296
P0001,125.0,60.0,1.5,166.66666666666666,8.174851369018823
P0001,125.0,45.0,1.5,270.8333333333333,9.182359456528813
P0001,125.0,30.0,1.5,333.3333333333333,9.438706182924074
P0001,125.0,20.0,1.5,354.1666666666667,9.893279644022734
P0001,125.0,10.0,1.5,375.0,10.193070774439494
P0001,125.0,0.0,1.5,395.8333333333333,10.892091677087839
P0001,125.0,-10.0,1.5,395.8333333333333,10.792609539488215
P0001,125.0,-20.0,1.5,395.8333333333333,11.332952098297023
P0001,125.0,-30.0,1.5,395.8333333333333,12.08957232835166
P0001,125.0,-45.0,1.5,312.5,8.912732940214962
P0001,300.0,-45.0,1.5,-270.8333333333333,-10.958324863689409
P0001,300.0,-30.0,1.5,-333.3333333333333,-13.20902541777038
P0001,300.0,-20.0,1.5,-375.0,-13.548236042407208
P0001,300.0,-10.0,1.5,-416.6666666666667,-13.931469338498363
P0001,300.0,0.0,1.5,-416.6666666666667,-15.099357004717913
P0001,300.0,10.0,1.5,-416.6666666666667,-16.05016669709714
P0001,300.0,20.0,1.5,-395.8333333333333,-15.289624700537694
P0001,300.0,30.0,1.5,-375.0,-14.649911924511967
P0001,300.0,45.0,1.5,-312.5,-13.67353930731337
P0001,300.0,60.0,1.5,-229.16666666666666,-12.227117949978073
P0001,300.0,75.0,1.5,-145.83333333333334,-7.578143916610307
P0001,120.0,75.0,1.5,62.5,5.674045764925882
P0001,120.0,60.0,1.5,187.5,8.83620753324367
P0001,120.0,45.0,1.5,291.6666666666667,9.840284730026905
P0001,120.0,30.0,1.5,375.0,10.30979984923131
P0001,120.0,20.0,1.5,395.8333333333333,11.45347436015788
P0001,120.0,10.0,1.5,416.6666666666667,11.917002258605754
P0001,120.0,0.0,1.5,437.5,12.591168600789848
P0001,120.0,-10.0,1.5,437.5,12.506663470533947
P0001,120.0,-20.0,1.5,437.5,13.334224282867167
P0001,120.0,-30.0,1.5,416.6666666666667,14.263100430630393
P0001,120.0,-45.0,1.5,333.3333333333333,11.320038317949754
P0001,295.0,-45.0,1.5,-291.6666666666667,-11.71547846696827
P0001,295.0,-30.0,1.5,-375.0,-14.329845935039335
P0001,295.0,-20.0,1.5,-395.8333333333333,-14.358920151969293
P0001,295.0,-10.0,1.5,-437.5,-14.70676062110071
P0001,295.0,0.0,1.5,-458.3333333333333,-15.682738300260507
P0001,295.0,10.0,1.5,-458.3333333333333,-16.429630516208203
P0001,295.0,20.0,1.5,-437.5,-15.937825954253487
P0001,295.0,30.0,1.5,-416.6666666666667,-15.040824731128568
